,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
0,Luís Figo,Right Winger,27,FC Barcelona,LaLiga,Real Madrid,Spain,2000-2001,,60000000
1,Hernán Crespo,Centre-Forward,25,Parma,Serie A,Lazio,Italy,2000-2001,,56810000
2,Marc Overmars,Left Winger,27,Arsenal,Premier League,FC Barcelona,Spain,2000-2001,,40000000
3,Gabriel Batistuta,Centre-Forward,31,Fiorentina,Serie A,AS Roma,Italy,2000-2001,,36150000
4,Nicolas Anelka,Centre-Forward,21,Real Madrid,LaLiga,Paris SG,France,2000-2001,,34500000
5,Rio Ferdinand,Centre-Back,22,West Ham,Premier League,Leeds,England,2000-2001,,26000000
6,Flávio Conceicao,Central Midfield,26,Dep. La Coruña,LaLiga,Real Madrid,Spain,2000-2001,,25000000
7,Savo Milosevic,Centre-Forward,26,Real Zaragoza,LaLiga,Parma,Italy,2000-2001,,25000000
8,David Trézéguet,Centre-Forward,22,Monaco,Ligue 1,Juventus,Italy,2000-2001,,23240000
9,Claudio López,Centre-Forward,25,Valencia CF,LaLiga,Lazio,Italy,2000-2001,,23000000
10,Jimmy Floyd Hasselbaink,Centre-Forward,28,Atlético Madrid,LaLiga2,Chelsea,England,2000-2001,,22500000
11,Gerard López,Central Midfield,21,Valencia CF,LaLiga,FC Barcelona,Spain,2000-2001,,21600000
12,Lucas,Centre-Forward,21,Atlético-PR, Brazil,Stade Rennais,France,2000-2001,,21300000
13,Pablo Aimar,Attacking Midfield,21,River Plate, Argentina,Valencia CF,Spain,2000-2001,,21250000
14,Wálter Samuel,Centre-Back,22,Boca Juniors, Argentina,AS Roma,Italy,2000-2001,,20800000
15,Shabani Nonda,Centre-Forward,23,Stade Rennais,Ligue 1,Monaco,France,2000-2001,,20000000
16,Robbie Keane,Centre-Forward,19,Coventry City,Premier League,Inter,Italy,2000-2001,,19500000
17,José Mari,Centre-Forward,21,Atlético Madrid,LaLiga2,AC Milan,Italy,2000-2001,,19000000
18,Jonathan Zebina,Centre-Back,21,Cagliari Calcio,Serie B,AS Roma,Italy,2000-2001,,18400000
19,Émerson,Defensive Midfield,24,Bay. Leverkusen,1.Bundesliga,AS Roma,Italy,2000-2001,,18000000
20,Tore André Flo,Centre-Forward,27,Chelsea,Premier League,Rangers,England,2000-2001,,18000000
21,Sergiy Rebrov,Second Striker,26,Dynamo Kyiv,Premier Liga,Spurs,England,2000-2001,,18000000
22,Angelo Peruzzi,Goalkeeper,30,Inter,Serie A,Lazio,Italy,2000-2001,,17900000
23,Diego Tristán,Centre-Forward,24,RCD Mallorca,LaLiga,Dep. La Coruña,Spain,2000-2001,,17750000
24,Sylvain Wiltord,Second Striker,26,G. Bordeaux,Ligue 1,Arsenal,England,2000-2001,,17500000
25,Fernando Redondo,Defensive Midfield,31,Real Madrid,LaLiga,AC Milan,Italy,2000-2001,,17500000
26,Jardel,Centre-Forward,26,FC Porto,Liga NOS,Galatasaray,Turkey,2000-2001,,17050000
27,Nuno Gomes,Centre-Forward,24,Benfica,Liga NOS,Fiorentina,Italy,2000-2001,,17000000
28,Sérgio Conceição,Right Winger,25,Lazio,Serie A,Parma,Italy,2000-2001,,17000000
29,Alfonso,Centre-Forward,27,Real Betis,LaLiga2,FC Barcelona,Spain,2000-2001,,16500000
30,Francisco Farinós,Defensive Midfield,22,Valencia CF,LaLiga,Inter,Italy,2000-2001,,16250000
31,Kakhaber Kaladze,Centre-Back,22,Dynamo Kyiv,Premier Liga,AC Milan,Italy,2000-2001,,16000000
32,Francis Jeffers,Centre-Forward,20,Everton,Premier League,Arsenal,England,2000-2001,,15300000
33,Emmanuel Petit,Defensive Midfield,29,Arsenal,Premier League,FC Barcelona,Spain,2000-2001,,15000000
34,Tomás Rosicky,Attacking Midfield,20,Sparta Praha, Czech Republic,Bor. Dortmund,Germany,2000-2001,,14500000
35,Catanha,Centre-Forward,28,Málaga CF,LaLiga,Celta de Vigo,Spain,2000-2001,,14420000
36,Juan Pablo Ángel,Centre-Forward,25,River Plate, Argentina,Aston Villa,England,2000-2001,,14400000
37,Mateja Kezman,Centre-Forward,21,Partizan, Serbia,PSV Eindhoven,Netherlands,2000-2001,,14000000
38,Claude Makélélé,Defensive Midfield,27,Celta de Vigo,LaLiga,Real Madrid,Spain,2000-2001,,14000000
39,Aldo Duscher,Defensive Midfield,21,Sporting CP,Liga NOS,Dep. La Coruña,Spain,2000-2001,,13000000
40,Ugo Ehiogu,Centre-Back,27,Aston Villa,Premier League,Middlesbrough,England,2000-2001,,12200000
41,Jesper Grönkjaer,Left Winger,23,AFC Ajax,Eredivisie,Chelsea,England,2000-2001,,11850000
